,{producer;consumer;storage;hub;conversion},{true;false},{true;false},{true;false},kEUR/MW/year,MW,MW,MW,MW,{true;false},MWh/year,MWh,MWh,h
name,type,active,investable,investment_integer,investment_cost,investment_limit,capacity,initial_capacity,peak_demand,is_seasonal,storage_inflows,initial_storage_capacity,initial_storage_level,energy_to_power_ratio
CZ_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
CZ_Hydro,producer,True,False,False,0.0,,432.0,432.0,0.0,False,0,0.0,0.0,0
CZ_Hydro_Reservoir,storage,True,False,False,0.0,,698.0,698.0,0.0,False,698,2500.0,1250.0,0
CZ_Nuclear,producer,True,False,False,0.0,,4047.0,4047.0,0.0,False,0,0.0,0.0,0
CZ_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
CZ_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,688.0,0.0,False,688,3700.0,1850.0,0
CZ_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,470.0,0.0,False,470,2300.0,1150.0,0
CZ_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,370.4166666666667,False,0,0.0,,0
CZ_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
CZ_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
CZ_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
CZ_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
PL_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
PL_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,27889.0,False,0,0.0,0.0,0
PL_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
PL_Wind_Onshore,producer,True,True,False,77356.32865703155,8663.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
