,,,{uniform;explicit;math},
from_asset,to_asset,rep_period,specification,partition
LU_PEMFC,LU_E_Demand,1,uniform,4
LU_H2Tank,LU_PEMFC,1,uniform,4
LU_H2Tank,LU_H_Demand,1,uniform,4
CZ_E_Balance,AT_E_Demand,1,uniform,4
AT_E_Balance,CZ_E_Demand,1,uniform,4
CZ_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,CZ_E_Demand,1,uniform,4
CZ_E_Balance,CZ_E_Demand,1,uniform,4
CZ_E_ENS,CZ_E_Demand,1,uniform,4
CZ_Wind_Onshore,CZ_E_Balance,1,uniform,4
CZ_Solar,CZ_E_Balance,1,uniform,4
CZ_Hydro,CZ_E_Balance,1,uniform,4
CZ_Hydro_Reservoir,CZ_E_Balance,1,uniform,4
CZ_Nuclear,CZ_E_Balance,1,uniform,4
CZ_E_Balance,CZ_Battery,1,uniform,4
CZ_Battery,CZ_E_Demand,1,uniform,4
CZ_Battery,CZ_PEMEC,1,uniform,4
CZ_E_Balance,CZ_Pump_Hydro_Closed,1,uniform,4
CZ_Pump_Hydro_Closed,CZ_E_Balance,1,uniform,4
CZ_E_Balance,CZ_Pump_Hydro_Open,1,uniform,4
CZ_Pump_Hydro_Open,CZ_E_Balance,1,uniform,4
CZ_Blue_Hydrogen,CZ_H_Demand,1,uniform,4
CZ_E_Balance,CZ_PEMEC,1,uniform,4
CZ_PEMEC,CZ_H2Tank,1,uniform,4
CZ_PEMEC,CZ_H_Demand,1,uniform,4
CZ_PEMFC,CZ_E_Demand,1,uniform,4
CZ_H2Tank,CZ_PEMFC,1,uniform,4
CZ_H2Tank,CZ_H_Demand,1,uniform,4
PL_E_Balance,DK_E_Demand,1,uniform,4
DK_E_Balance,PL_E_Demand,1,uniform,4
PL_E_Balance,CZ_E_Demand,1,uniform,4
CZ_E_Balance,PL_E_Demand,1,uniform,4
PL_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,PL_E_Demand,1,uniform,4
PL_E_Balance,PL_E_Demand,1,uniform,4
PL_E_ENS,PL_E_Demand,1,uniform,4
PL_Wind_Onshore,PL_E_Balance,1,uniform,4
PL_Wind_Offshore,PL_E_Balance,1,uniform,4
PL_Solar,PL_E_Balance,1,uniform,4
PL_Hydro,PL_E_Balance,1,uniform,4
PL_Hydro_Reservoir,PL_E_Balance,1,uniform,4
PL_E_Balance,PL_Battery,1,uniform,4
PL_Battery,PL_E_Demand,1,uniform,4
PL_Battery,PL_PEMEC,1,uniform,4
PL_E_Balance,PL_Pump_Hydro_Closed,1,uniform,4
PL_Pump_Hydro_Closed,PL_E_Balance,1,uniform,4
PL_E_Balance,PL_Pump_Hydro_Open,1,uniform,4
PL_Pump_Hydro_Open,PL_E_Balance,1,uniform,4
PL_E_Balance,PL_PEMEC,1,uniform,4
PL_PEMEC,PL_H2Tank,1,uniform,4
PL_PEMFC,PL_E_Demand,1,uniform,4
PL_H2Tank,PL_PEMFC,1,uniform,4
SE_E_Balance,DK_E_Demand,1,uniform,4
DK_E_Balance,SE_E_Demand,1,uniform,4
SE_E_Balance,PL_E_Demand,1,uniform,4
PL_E_Balance,SE_E_Demand,1,uniform,4
SE_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,SE_E_Demand,1,uniform,4
SE_E_Balance,SE_E_Demand,1,uniform,4
SE_E_ENS,SE_E_Demand,1,uniform,4
SE_Wind_Onshore,SE_E_Balance,1,uniform,4
SE_Wind_Offshore,SE_E_Balance,1,uniform,4
SE_Solar,SE_E_Balance,1,uniform,4
SE_Hydro_Reservoir,SE_E_Balance,1,uniform,4
SE_Nuclear,SE_E_Balance,1,uniform,4
SE_E_Balance,SE_Battery,1,uniform,4
SE_Battery,SE_E_Demand,1,uniform,4
SE_Battery,SE_PEMEC,1,uniform,4
SE_Blue_Hydrogen,SE_H_Demand,1,uniform,4
SE_E_Balance,SE_PEMEC,1,uniform,4
SE_PEMEC,SE_H2Tank,1,uniform,4
SE_PEMEC,SE_H_Demand,1,uniform,4
SE_PEMFC,SE_E_Demand,1,uniform,4
SE_H2Tank,SE_PEMFC,1,uniform,4
SE_H2Tank,SE_H_Demand,1,uniform,4
NO_E_Balance,DK_E_Demand,1,uniform,4
DK_E_Balance,NO_E_Demand,1,uniform,4
NO_E_Balance,NL_E_Demand,1,uniform,4
NL_E_Balance,NO_E_Demand,1,uniform,4
NO_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,NO_E_Demand,1,uniform,4
NO_E_Balance,SE_E_Demand,1,uniform,4
SE_E_Balance,NO_E_Demand,1,uniform,4
NO_E_Balance,UK_E_Demand,1,uniform,4
UK_E_Balance,NO_E_Demand,1,uniform,4
NO_E_Balance,NO_E_Demand,1,uniform,4
NO_E_ENS,NO_E_Demand,1,uniform,4
NO_Wind_Onshore,NO_E_Balance,1,uniform,4
NO_Wind_Offshore,NO_E_Balance,1,uniform,4
NO_Solar,NO_E_Balance,1,uniform,4
NO_E_Balance,NO_Battery,1,uniform,4
NO_Battery,NO_E_Demand,1,uniform,4
NO_Battery,NO_PEMEC,1,uniform,4
NO_E_Balance,NO_Pump_Hydro_Open,1,uniform,4
NO_Pump_Hydro_Open,NO_E_Balance,1,uniform,4
NO_E_Balance,NO_PEMEC,1,uniform,4
NO_PEMEC,NO_H2Tank,1,uniform,4
NO_PEMFC,NO_E_Demand,1,uniform,4
NO_H2Tank,NO_PEMFC,1,uniform,4
ES_E_Balance,FR_E_Demand,1,uniform,4
FR_E_Balance,ES_E_Demand,1,uniform,4
ES_E_Balance,ES_E_Demand,1,uniform,4
ES_E_ENS,ES_E_Demand,1,uniform,4
ES_Wind_Onshore,ES_E_Balance,1,uniform,4
ES_Wind_Offshore,ES_E_Balance,1,uniform,4
ES_Solar,ES_E_Balance,1,uniform,4
ES_Hydro,ES_E_Balance,1,uniform,4
ES_Hydro_Reservoir,ES_E_Balance,1,uniform,4
ES_Nuclear,ES_E_Balance,1,uniform,4
ES_E_Balance,ES_Battery,1,uniform,4
ES_Battery,ES_E_Demand,1,uniform,4
ES_Battery,ES_PEMEC,1,uniform,4
ES_E_Balance,ES_Pump_Hydro_Closed,1,uniform,4
ES_Pump_Hydro_Closed,ES_E_Balance,1,uniform,4
ES_E_Balance,ES_Pump_Hydro_Open,1,uniform,4
ES_Pump_Hydro_Open,ES_E_Balance,1,uniform,4
ES_Blue_Hydrogen,ES_H_Demand,1,uniform,4
ES_E_Balance,ES_PEMEC,1,uniform,4
ES_PEMEC,ES_H2Tank,1,uniform,4
ES_PEMEC,ES_H_Demand,1,uniform,4
ES_PEMFC,ES_E_Demand,1,uniform,4
ES_H2Tank,ES_PEMFC,1,uniform,4
ES_H2Tank,ES_H_Demand,1,uniform,4
PT_E_Balance,ES_E_Demand,1,uniform,4
ES_E_Balance,PT_E_Demand,1,uniform,4
PT_E_Balance,PT_E_Demand,1,uniform,4
PT_E_ENS,PT_E_Demand,1,uniform,4
PT_Wind_Onshore,PT_E_Balance,1,uniform,4
PT_Wind_Offshore,PT_E_Balance,1,uniform,4
PT_Solar,PT_E_Balance,1,uniform,4
PT_Hydro,PT_E_Balance,1,uniform,4
PT_Hydro_Reservoir,PT_E_Balance,1,uniform,4
PT_E_Balance,PT_Battery,1,uniform,4
PT_Battery,PT_E_Demand,1,uniform,4
PT_Battery,PT_PEMEC,1,uniform,4
PT_E_Balance,PT_Pump_Hydro_Open,1,uniform,4
PT_Pump_Hydro_Open,PT_E_Balance,1,uniform,4
PT_E_Balance,PT_PEMEC,1,uniform,4
PT_PEMEC,PT_H2Tank,1,uniform,4
PT_PEMFC,PT_E_Demand,1,uniform,4
PT_H2Tank,PT_PEMFC,1,uniform,4
IT_E_Balance,FR_E_Demand,1,uniform,4
FR_E_Balance,IT_E_Demand,1,uniform,4
IT_E_Balance,CH_E_Demand,1,uniform,4
CH_E_Balance,IT_E_Demand,1,uniform,4
IT_E_Balance,AT_E_Demand,1,uniform,4
AT_E_Balance,IT_E_Demand,1,uniform,4
IT_E_Balance,IT_E_Demand,1,uniform,4
IT_E_ENS,IT_E_Demand,1,uniform,4
IT_Wind_Onshore,IT_E_Balance,1,uniform,4
IT_Wind_Offshore,IT_E_Balance,1,uniform,4
IT_Solar,IT_E_Balance,1,uniform,4
IT_Hydro,IT_E_Balance,1,uniform,4
IT_Hydro_Reservoir,IT_E_Balance,1,uniform,4
IT_E_Balance,IT_Battery,1,uniform,4
IT_Battery,IT_E_Demand,1,uniform,4
IT_Battery,IT_PEMEC,1,uniform,4
IT_E_Balance,IT_Pump_Hydro_Closed,1,uniform,4
IT_Pump_Hydro_Closed,IT_E_Balance,1,uniform,4
IT_E_Balance,IT_Pump_Hydro_Open,1,uniform,4
IT_Pump_Hydro_Open,IT_E_Balance,1,uniform,4
IT_Blue_Hydrogen,IT_H_Demand,1,uniform,4
IT_E_Balance,IT_PEMEC,1,uniform,4
IT_PEMEC,IT_H2Tank,1,uniform,4
IT_PEMEC,IT_H_Demand,1,uniform,4
IT_PEMFC,IT_E_Demand,1,uniform,4
IT_H2Tank,IT_PEMFC,1,uniform,4
IT_H2Tank,IT_H_Demand,1,uniform,4
MT_E_Balance,IT_E_Demand,1,uniform,4
IT_E_Balance,MT_E_Demand,1,uniform,4
MT_E_Balance,MT_E_Demand,1,uniform,4
MT_E_ENS,MT_E_Demand,1,uniform,4
MT_Solar,MT_E_Balance,1,uniform,4
MT_E_Balance,MT_Battery,1,uniform,4
MT_Battery,MT_E_Demand,1,uniform,4
MT_Battery,MT_PEMEC,1,uniform,4
MT_E_Balance,MT_PEMEC,1,uniform,4
MT_PEMEC,MT_H2Tank,1,uniform,4
MT_PEMFC,MT_E_Demand,1,uniform,4
MT_H2Tank,MT_PEMFC,1,uniform,4
SI_E_Balance,AT_E_Demand,1,uniform,4
AT_E_Balance,SI_E_Demand,1,uniform,4
SI_E_Balance,IT_E_Demand,1,uniform,4
IT_E_Balance,SI_E_Demand,1,uniform,4
SI_E_Balance,SI_E_Demand,1,uniform,4
SI_E_ENS,SI_E_Demand,1,uniform,4
SI_Wind_Onshore,SI_E_Balance,1,uniform,4
SI_Solar,SI_E_Balance,1,uniform,4
SI_Hydro,SI_E_Balance,1,uniform,4
SI_Nuclear,SI_E_Balance,1,uniform,4
SI_E_Balance,SI_Battery,1,uniform,4
SI_Battery,SI_E_Demand,1,uniform,4
SI_Battery,SI_PEMEC,1,uniform,4
SI_E_Balance,SI_Pump_Hydro_Closed,1,uniform,4
SI_Pump_Hydro_Closed,SI_E_Balance,1,uniform,4
SI_E_Balance,SI_PEMEC,1,uniform,4
SI_PEMEC,SI_H2Tank,1,uniform,4
SI_PEMFC,SI_E_Demand,1,uniform,4
SI_H2Tank,SI_PEMFC,1,uniform,4
HU_E_Balance,AT_E_Demand,1,uniform,4
AT_E_Balance,HU_E_Demand,1,uniform,4
HU_E_Balance,SI_E_Demand,1,uniform,4
SI_E_Balance,HU_E_Demand,1,uniform,4
HU_E_Balance,HU_E_Demand,1,uniform,4
HU_E_ENS,HU_E_Demand,1,uniform,4
HU_Wind_Onshore,HU_E_Balance,1,uniform,4
HU_Solar,HU_E_Balance,1,uniform,4
HU_Hydro,HU_E_Balance,1,uniform,4
HU_Nuclear,HU_E_Balance,1,uniform,4
HU_E_Balance,HU_Battery,1,uniform,4
HU_Battery,HU_E_Demand,1,uniform,4
HU_Battery,HU_PEMEC,1,uniform,4
HU_Blue_Hydrogen,HU_H_Demand,1,uniform,4
HU_E_Balance,HU_PEMEC,1,uniform,4
HU_PEMEC,HU_H2Tank,1,uniform,4
HU_PEMEC,HU_H_Demand,1,uniform,4
HU_PEMFC,HU_E_Demand,1,uniform,4
HU_H2Tank,HU_PEMFC,1,uniform,4
HU_H2Tank,HU_H_Demand,1,uniform,4
SK_E_Balance,CZ_E_Demand,1,uniform,4
CZ_E_Balance,SK_E_Demand,1,uniform,4
SK_E_Balance,HU_E_Demand,1,uniform,4
HU_E_Balance,SK_E_Demand,1,uniform,4
SK_E_Balance,PL_E_Demand,1,uniform,4
PL_E_Balance,SK_E_Demand,1,uniform,4
SK_E_Balance,SK_E_Demand,1,uniform,4
SK_E_ENS,SK_E_Demand,1,uniform,4
SK_Wind_Onshore,SK_E_Balance,1,uniform,4
SK_Solar,SK_E_Balance,1,uniform,4
SK_Hydro,SK_E_Balance,1,uniform,4
SK_Hydro_Reservoir,SK_E_Balance,1,uniform,4
SK_Nuclear,SK_E_Balance,1,uniform,4
SK_E_Balance,SK_Battery,1,uniform,4
