,asset_name,asset_name,{true;false},{true;false},{true;false},{true;false},kEUR/MWh,kEUR/MW/year,MW,MW,MW,MW,p.u.
carrier,from_asset,to_asset,active,is_transport,investable,investment_integer,variable_cost,investment_cost,investment_limit,capacity,initial_export_capacity,initial_import_capacity,efficiency
electricity,IE_Solar,IE_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,IE_Hydro,IE_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,IE_E_Balance,IE_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,IE_Battery,IE_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,IE_Battery,IE_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,IE_E_Balance,IE_Pump_Hydro_Closed,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,IE_Pump_Hydro_Closed,IE_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,IE_E_Balance,IE_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,IE_PEMEC,IE_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,IE_PEMFC,IE_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,IE_H2Tank,IE_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CH_E_Balance,DE_E_Demand,True,True,False,False,44,2.6957550984694505,,1000,4200,0,0.9
electricity,DE_E_Balance,CH_E_Demand,True,True,False,False,44,2.6957550984694505,,1000,4200,0,0.9
electricity,CH_E_Balance,FR_E_Demand,True,True,False,False,46,2.6957550984694505,,1000,500,0,0.9
electricity,FR_E_Balance,CH_E_Demand,True,True,False,False,46,2.6957550984694505,,1000,500,0,0.9
electricity,CH_E_Balance,CH_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CH_E_ENS,CH_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,CH_Wind_Onshore,CH_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,CH_Solar,CH_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CH_Hydro,CH_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,CH_Nuclear,CH_E_Balance,True,False,True,False,11.5,0.0,,1000,0,0,1.0
electricity,CH_E_Balance,CH_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,CH_Battery,CH_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,CH_Battery,CH_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,CH_E_Balance,CH_Pump_Hydro_Closed,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,CH_Pump_Hydro_Closed,CH_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,CH_E_Balance,CH_Pump_Hydro_Open,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,CH_Pump_Hydro_Open,CH_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,CH_E_Balance,CH_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,CH_PEMEC,CH_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,CH_PEMFC,CH_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,CH_H2Tank,CH_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,AT_E_Balance,CH_E_Demand,True,True,False,False,42,2.6957550984694505,,1000,1200,0,0.9
electricity,CH_E_Balance,AT_E_Demand,True,True,False,False,42,2.6957550984694505,,1000,1200,0,0.9
electricity,AT_E_Balance,DE_E_Demand,True,True,False,False,47,2.6957550984694505,,1000,1500,0,0.9
electricity,DE_E_Balance,AT_E_Demand,True,True,False,False,47,2.6957550984694505,,1000,1500,0,0.9
electricity,AT_E_Balance,AT_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,AT_E_ENS,AT_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,AT_Wind_Onshore,AT_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,AT_Solar,AT_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,AT_Hydro,AT_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,AT_Hydro_Reservoir,AT_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,AT_E_Balance,AT_Battery,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,AT_Battery,AT_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,AT_Battery,AT_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,0.9550000000000001
electricity,AT_E_Balance,AT_Pump_Hydro_Closed,True,False,True,False,0.0,0.0,,1000,0,0,0.875
